step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
234,1751376,1872,0.07636867466094553,0.75,0.75,,,,,,,,,
235,1756184,1880,0.14193700533314507,0.75,0.75,,,,,,,,,
236,1764000,1888,0.1115379257279091,1.0,1.0,,,,,,,,,
237,1769640,1896,0.15050155062333737,0.875,0.875,,,,,,,,,
238,1776752,1904,0.16471428871189578,0.875,0.875,,,,,,,,,
239,1781880,1912,0.14303434995580952,0.875,0.875,,,,,,,,,
240,1788480,1920,0.10442640372864323,1.0,1.0,,,,,,,,,
241,1795528,1928,0.13024294133785108,0.75,0.75,,,,,,,,,
242,1807056,1936,0.0950014513833458,0.875,0.875,,,,,,,,,
243,1812824,1944,0.10390104002565043,0.625,0.625,,,,,,,,,
244,1821216,1952,0.12241180358497064,0.75,0.75,,,,,,,,,
245,1830568,1960,0.11979226368930676,0.875,0.875,,,,,,,,,
246,1839600,1968,0.14401498144377323,0.75,0.75,,,,,,,,,
247,1844792,1976,0.12184216296111249,0.625,0.625,,,,,,,,,
248,1853312,1984,0.144835744701445,0.625,0.625,,,,,,,,,
249,1861768,1992,0.10278794708055658,0.875,0.875,,,,,,,,,
250,1874576,2000,0.09247586599520079,0.875,0.875,,,,,,,,,
251,1888280,2008,0.09890933938619001,0.75,0.75,,,,,,,,,
252,1903648,2016,0.11741481547988977,0.75,0.75,,,,,,,,,
253,1909928,2024,0.11180027330395699,0.625,0.625,,,,,,,,,
254,1919408,2032,0.09964987305706022,0.75,0.75,,,,,,,,,
255,1923704,2040,0.11877268375213455,0.625,0.625,,,,,,,,,
256,1935744,2048,0.07931648642918573,0.75,0.75,,,,,,,,,
257,1942408,2056,0.11388568638144543,0.625,0.625,,,,,,,,,
258,1951824,2064,0.08511485395626647,1.0,1.0,,,,,,,,,
259,1956888,2072,0.14724326929838877,0.875,0.875,,,,,,,,,
260,1964640,2080,0.11397265729369245,0.75,0.75,,,,,,,,,
261,1970216,2088,0.13089752222199424,0.625,0.625,,,,,,,,,
262,1977520,2096,0.1301692760270911,0.625,0.625,,,,,,,,,
263,1986360,2104,0.10221440032243023,1.0,1.0,,,,,,,,,
264,1996928,2112,0.09819904357662568,0.625,0.625,,,,,,,,,
265,2003336,2120,0.10775236877908158,0.875,0.875,,,,,,,,,
266,2010960,2128,0.12456968769039033,0.75,0.75,,,,,,,,,
267,2016728,2136,0.09134441863270332,0.625,0.625,,,,,,,,,
268,2022112,2144,0.18891771174260732,0.75,0.75,0.11465952404637561,1.0,1.0,,,,,,
269,2030248,2152,0.12238380299049204,0.875,0.875,,,,,,,,,
270,2034864,2160,0.1653496700150122,1.0,1.0,,,,,,,,,
271,2041208,2168,0.15262876029319805,0.75,0.75,,,,,,,,,
272,2044288,2176,0.15020636114068808,0.625,0.625,,,,,,,,,
273,2050696,2184,0.1314610569493406,0.625,0.625,,,,,,,,,
274,2057232,2192,0.11686500183140307,0.875,0.875,,,,,,,,,
275,2063832,2200,0.11815018597305485,0.625,0.625,,,,,,,,,
276,2071008,2208,0.13449939305534142,0.75,0.75,,,,,,,,,
277,2078696,2216,0.1334638112137342,0.625,0.625,,,,,,,,,
278,2085680,2224,0.1842932145882729,0.75,0.75,,,,,,,,,
279,2092472,2232,0.12560215367397834,0.75,0.75,,,,,,,,,
280,2096832,2240,0.14537176695021603,0.625,0.625,,,,,,,,,
281,2112520,2248,0.11265537389145738,0.75,0.75,,,,,,,,,
282,2117840,2256,0.09631496420057332,0.875,0.875,,,,,,,,,
283,2123544,2264,0.14735423496866173,0.5,0.5,,,,,,,,,
284,2132512,2272,0.07669332113101271,0.875,0.875,,,,,,,,,
285,2138920,2280,0.1308932173896129,0.875,0.875,,,,,,,,,
286,2146544,2288,0.14092694564666258,1.0,1.0,,,,,,,,,
287,2152504,2296,0.120622352067879,0.875,0.875,,,,,,,,,
288,2156928,2304,0.13840172720990884,0.875,0.875,,,,,,,,,
289,2161736,2312,0.1414518913041503,0.625,0.625,,,,,,,,,
290,2168080,2320,0.15454839720446503,0.625,0.625,,,,,,,,,
291,2176344,2328,0.13238622004411293,0.875,0.875,,,,,,,,,
292,2184224,2336,0.09801067455014285,0.75,0.75,,,,,,,,,
293,2188392,2344,0.12571996526213552,0.75,0.75,,,,,,,,,
294,2194032,2352,0.13162758335481445,0.875,0.875,,,,,,,,,
295,2206200,2360,0.09786180161240901,0.875,0.875,,,,,,,,,
296,2210688,2368,0.16068308496701691,0.625,0.625,,,,,,,,,
297,2220552,2376,0.1337810151732696,0.875,0.875,,,,,,,,,
298,2229072,2384,0.12457998401354084,0.875,0.875,,,,,,,,,
299,2236568,2392,0.11465788155398957,0.875,0.875,,,,,,,,,
300,2244896,2400,0.11807631664164557,0.875,0.875,,,,,,,,,
301,2256232,2408,0.11248080166292293,0.875,0.875,,,,,,,,,
302,2263792,2416,0.13518931612702806,0.75,0.75,,,,,,,,,
303,2274360,2424,0.1058544174577063,0.75,0.75,,,,,,,,,
304,2281664,2432,0.10747665203486967,0.875,0.875,,,,,,,,,
305,2287432,2440,0.16001412962770464,0.875,0.875,,,,,,,,,
306,2297552,2448,0.11373704888698175,1.0,1.0,,,,,,,,,
307,2304536,2456,0.1516237523968947,0.5,0.5,,,,,,,,,
308,2312288,2464,0.13459792101250834,0.875,0.875,,,,,,,,,
309,2318312,2472,0.12967574726187361,0.875,0.875,,,,,,,,,
310,2326384,2480,0.11203152862347764,0.75,0.75,,,,,,,,,
311,2333304,2488,0.17371135100792498,1.0,1.0,,,,,,,,,
312,2344640,2496,0.12159452774572606,0.875,0.875,,,,,,,,,
313,2350856,2504,0.1291837727874063,0.75,0.75,,,,,,,,,
314,2356048,2512,0.1258091472575887,1.0,1.0,,,,,,,,,
315,2365272,2520,0.08812174406466153,0.625,0.625,,,,,,,,,
316,2369632,2528,0.14686120879913803,0.875,0.875,,,,,,,,,
317,2379112,2536,0.09347019815571557,0.875,0.875,,,,,,,,,
318,2384112,2544,0.12340064715497896,0.875,0.875,,,,,,,,,
319,2390904,2552,0.11058917849959769,0.625,0.625,,,,,,,,,
320,2400640,2560,0.12800420174066288,0.625,0.625,,,,,,,,,
321,2406408,2568,0.14934839603164146,1.0,1.0,,,,,,,,,
322,2414736,2576,0.12865309732795796,0.625,0.625,,,,,,,,,
323,2424280,2584,0.08630220206675529,1.0,1.0,,,,,,,,,
324,2429856,2592,0.13368170689802786,1.0,1.0,,,,,,,,,
325,2439400,2600,0.09124356081739388,0.875,0.875,,,,,,,,,
326,2447536,2608,0.07551903166775184,0.875,0.875,,,,,,,,,
327,2457144,2616,0.1038107118076157,0.875,0.875,,,,,,,,,
328,2466880,2624,0.14557031312642413,0.75,0.75,,,,,,,,,
329,2477768,2632,0.09693597694932898,0.875,0.875,,,,,,,,,
330,2484880,2640,0.1125583787888968,0.875,0.875,,,,,,,,,
331,2493144,2648,0.11381815265696645,1.0,1.0,,,,,,,,,
332,2498400,2656,0.14351872111405403,1.0,1.0,,,,,,,,,
333,2507880,2664,0.1231368228443186,0.875,0.875,,,,,,,,,
334,2515504,2672,0.12366798866155919,0.875,0.875,,,,,,,,,
335,2521656,2680,0.15338345260471947,0.625,0.625,0.1674711154054335,0.75,0.75,,,,,,
336,2529728,2688,0.08448284700664468,0.75,0.75,,,,,,,,,
337,2536264,2696,0.15079727976057739,0.875,0.875,,,,,,,,,
338,2540752,2704,0.15311579679203452,0.875,0.875,,,,,,,,,
339,2547416,2712,0.09822750185993503,0.625,0.625,,,,,,,,,
340,2554464,2720,0.1518705519164321,0.875,0.875,,,,,,,,,
341,2561320,2728,0.09083341197261255,0.875,0.875,,,,,,,,,
342,2569328,2736,0.08642194146087516,0.875,0.875,,,,,,,,,
343,2577400,2744,0.0862162585889899,0.75,0.75,,,,,,,,,
344,2583808,2752,0.1380367335229044,0.625,0.625,,,,,,,,,
345,2590984,2760,0.11613087771624632,0.75,0.75,,,,,,,,,
346,2597072,2768,0.13553397438253367,0.875,0.875,,,,,,,,,
347,2601752,2776,0.19025984080721844,0.875,0.875,,,,,,,,,
348,2607264,2784,0.19961737132030744,1.0,1.0,,,,,,,,,
349,2613032,2792,0.13492280101401935,0.875,0.875,,,,,,,,,
350,2619312,2800,0.1196584391296974,0.75,0.75,,,,,,,,,
351,2627192,2808,0.14014647659823873,0.875,0.875,,,,,,,,,
352,2634624,2816,0.1335070764210473,0.875,0.875,,,,,,,,,
353,2641992,2824,0.0961795633440615,1.0,1.0,,,,,,,,,
354,2651152,2832,0.1638362638066081,0.875,0.875,,,,,,,,,
355,2658712,2840,0.1160098768344313,0.75,0.75,,,,,,,,,
356,2666720,2848,0.08792731830372563,0.875,0.875,,,,,,,,,
357,2674920,2856,0.12173836839732398,0.875,0.875,,,,,,,,,
358,2683824,2864,0.12691147810159534,0.75,0.75,,,,,,,,,
359,2694072,2872,0.09400957306121321,0.75,0.75,,,,,,,,,
360,2704896,2880,0.1353526914864861,1.0,1.0,,,,,,,,,
361,2712456,2888,0.1471121996908212,0.875,0.875,,,,,,,,,
362,2722512,2896,0.14672611240381012,1.0,1.0,,,,,,,,,
363,2732568,2904,0.09106886304755965,0.75,0.75,,,,,,,,,
364,2737888,2912,0.15496653118135,1.0,1.0,,,,,,,,,
365,2744488,2920,0.09540537032177585,0.75,0.75,,,,,,,,,
366,2752688,2928,0.12832506307691272,0.625,0.625,,,,,,,,,
367,2760312,2936,0.15601391499293593,0.5,0.5,,,,,,,,,
368,2771712,2944,0.09239969336155679,0.75,0.75,,,,,,,,,
369,2779464,2952,0.08771238506301118,0.75,0.75,,,,,,,,,
370,2784208,2960,0.14488491980117094,0.875,0.875,,,,,,,,,
371,2790040,2968,0.15822910115124628,0.5,0.5,,,,,,,,,
372,2797216,2976,0.1469426677098764,0.875,0.875,,,,,,,,,
373,2807592,2984,0.12098009141572157,1.0,1.0,,,,,,,,,
374,2819248,2992,0.11859266019042995,0.75,0.75,,,,,,,,,
375,2827448,3000,0.10989528438918064,0.5,0.5,,,,,,,,,
376,2835520,3008,0.1124537283972714,0.625,0.625,,,,,,,,,
377,2845960,3016,0.10053799436000045,0.5,0.5,,,,,,,,,
378,2855440,3024,0.08837122416973466,0.875,0.875,,,,,,,,,
379,2866008,3032,0.09865421851524377,1.0,1.0,,,,,,,,,
380,2872800,3040,0.14476986215625315,0.75,0.75,,,,,,,,,
381,2879848,3048,0.102711884103059,0.875,0.875,,,,,,,,,
382,2891824,3056,0.11551736762561592,0.625,0.625,,,,,,,,,
383,2899384,3064,0.1466419515386297,0.875,0.875,,,,,,,,,
384,2908608,3072,0.14381024571500145,0.75,0.75,,,,,,,,,
385,2913544,3080,0.15079688087224144,0.875,0.875,,,,,,,,,
386,2921040,3088,0.09529544939241759,0.875,0.875,,,,,,,,,
387,2927384,3096,0.12390507408079526,0.5,0.5,,,,,,,,,
388,2936800,3104,0.14862430945180408,1.0,1.0,,,,,,,,,
389,2944296,3112,0.11888489979304663,0.875,0.875,,,,,,,,,
390,2949936,3120,0.1060818591688398,1.0,1.0,,,,,,,,,
391,2953528,3128,0.14786536489247995,0.875,0.875,,,,,,,,,
392,2958656,3136,0.09586407723964306,0.5,0.5,,,,,,,,,
